CO,HC,Temp,Hum,CO2,TVOC,DD
159,38,33.4,41,548,22,1
161,41,33.4,41,400,0,2
164,40,33.4,41,536,20,0
161,38,33.3,41,537,20,0
160,35,33.4,41,540,21,1
160,35,33.5,41,552,23,0
160,36,33.7,41,551,23,0
170,48,33.7,41,531,19,9
164,42,33.7,41,543,21,3
162,41,33.4,41,546,22,1
165,42,33.4,41,549,22,6
163,42,33.3,41,555,23,3
167,42,33.3,41,566,25,4
163,38,33.3,41,564,24,0
163,38,33.4,41,548,22,0
162,38,33.7,41,540,21,0
159,38,33.8,41,546,22,41
159,41,33.8,41,527,19,7
164,42,33.8,41,485,12,3
162,38,33.8,41,536,20,1
162,38,33.7,41,539,21,0
168,40,33.7,41,519,18,0
168,41,33.4,41,548,22,88
167,40,33.4,41,552,23,4
163,38,33.3,41,551,23,0
164,41,33.3,41,551,23,4
163,38,33.3,41,556,23,0
164,38,33.4,41,555,23,1
168,40,33.4,41,502,15,0
168,40,33.4,41,542,21,0
165,44,33.7,41,533,20,3
159,38,33.8,41,527,19,0
161,38,33.8,41,545,22,9
160,35,33.8,41,575,26,0
159,37,33.8,41,542,21,0
165,46,33.8,41,403,0,1
161,35,33.8,41,414,2,25
163,38,33.8,41,543,21,0
164,36,33.7,41,575,26,0
163,38,33.7,41,581,27,2
166,42,33.4,41,592,29,4
164,38,33.7,41,591,29,0
164,38,33.7,41,597,30,1
163,38,33.7,41,594,29,0
162,38,33.8,41,592,29,0
164,37,33.8,42,594,29,0
162,38,33.8,42,567,25,0
162,35,33.8,42,556,23,0
164,40,33.8,42,574,26,0
163,37,33.8,42,564,24,0
166,40,33.8,42,570,25,4
163,38,33.8,42,556,23,0
163,37,33.8,42,556,23,2
166,40,33.8,42,537,20,0
164,37,33.8,43,566,25,0
170,40,33.8,43,575,26,0
166,38,33.8,43,556,23,0
168,40,33.8,43,584,28,0
165,38,33.8,43,589,28,2
169,42,33.8,44,552,23,3
161,38,33.8,44,470,10,0
169,41,33.8,44,614,32,0
171,42,33.7,44,581,27,6
166,38,33.8,44,623,33,14
170,40,33.7,44,620,33,4
172,42,33.8,44,603,30,3
172,42,33.7,44,594,29,2
167,40,33.8,44,596,29,1
167,38,33.7,44,581,27,0
172,40,33.7,44,594,29,0
167,38,33.7,45,584,28,0
161,35,33.8,45,603,30,0
166,46,33.8,45,441,6,5
168,40,33.8,45,574,26,0
168,35,33.8,45,552,23,0
168,38,33.8,45,526,19,0
168,38,33.8,45,545,22,0
168,41,33.7,45,543,21,0
172,40,33.7,45,531,19,28
170,42,33.7,45,531,19,4
177,46,33.8,45,537,20,3
167,38,33.7,45,531,19,0
167,38,33.7,45,540,21,0
167,41,33.7,45,540,21,0
167,38,33.4,45,545,22,0
167,41,33.4,45,548,22,0
168,37,33.4,45,548,22,0
171,42,33.7,45,534,20,4
168,35,33.7,45,518,17,0
167,38,33.7,45,567,25,15
168,38,33.7,45,566,25,0
169,38,33.7,45,556,23,0
169,38,33.7,45,580,27,0
170,38,33.6,46,580,27,0
171,42,33.4,46,581,27,3
167,38,33.4,46,588,28,0
172,42,33.4,46,584,28,4
173,42,33.4,46,592,29,4
174,42,33.4,46,545,22,4
171,41,33.4,46,588,28,0
171,38,33.7,46,575,26,0
170,41,33.7,46,561,24,4
170,37,33.8,46,561,24,0
170,39,33.8,45,551,23,2
